TEST_EXIT=0 
[INFO] Tests run: 14, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.378 s -- in com.agentplatform.core.tool.action.ProjectActionTest
[INFO] Tests run: 18, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.512 s -- in com.agentplatform.core.tool.approval.ApprovalServiceTest
[INFO] Tests run: 11, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.123 s -- in com.agentplatform.core.tool.approval.SnapshotServiceTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.003 s -- in com.agentplatform.core.tool.CalculatorToolTest
[INFO] Tests run: 11, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.005 s -- in com.agentplatform.core.tool.executor.ToolCallCollectorTest
[INFO] Tests run: 13, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.011 s -- in com.agentplatform.core.tool.executor.ToolFiltersTest
[INFO] Tests run: 15, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.009 s -- in com.agentplatform.core.tool.fs.ProtectedPathsTest
[INFO] Tests run: 18, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.143 s -- in com.agentplatform.core.tool.fs.WorkspaceServiceTest
[INFO] Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.261 s -- in com.agentplatform.core.tool.mcp.StdioMcpClientTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.080 s -- in com.agentplatform.core.tool.registry.ToolRegistrationServiceTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.003 s -- in com.agentplatform.core.tool.ToolExecutorTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.076 s -- in com.agentplatform.core.tool.ToolSchemasTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.007 s -- in com.agentplatform.core.workflow.dag.DagEngineTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.007 s -- in com.agentplatform.core.workflow.schema.WorkflowSchemaValidatorTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.177 s -- in com.agentplatform.core.workflow.WorkflowCanvasBackendTest
[INFO] Tests run: 386, Failures: 0, Errors: 0, Skipped: 0
[INFO] BUILD SUCCESS
